Country/Region,location,continent,population_year,population
Nicaragua,Nicaragua,North America,2021,6850540
Niger,Niger,Africa,2021,25252722
Nigeria,Nigeria,Africa,2021,213401323
"Korea, North",North Korea,Asia,2021,25971909
North Macedonia,North Macedonia,Europe,2021,2103330
Norway,Norway,Europe,2021,5403021
Oman,Oman,Asia,2021,4520471
Pakistan,Pakistan,Asia,2021,231402116
Palau,Palau,Oceania,2021,18024
West Bank and Gaza,Palestine,Asia,2021,5133392
Panama,Panama,North America,2021,4351267
Papua New Guinea,Papua New Guinea,Oceania,2021,9949437
Paraguay,Paraguay,South America,2021,6703799
Peru,Peru,South America,2021,33715472
Philippines,Philippines,Asia,2021,113880328
Poland,Poland,Europe,2021,38307726
Portugal,Portugal,Europe,2021,10290103
Qatar,Qatar,Asia,2021,2688235
Romania,Romania,Europe,2021,19328560
Russia,Russia,Europe,2021,145102755
Rwanda,Rwanda,Africa,2021,13461888
"Saint Helena, Ascension and Tristan da Cunha",Saint Helena,Africa,2021,5404
Saint Kitts and Nevis,Saint Kitts and Nevis,North America,2021,47606
Saint Lucia,Saint Lucia,North America,2021,179652
Saint Pierre and Miquelon,Saint Pierre and Miquelon,North America,2021,5883
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,North America,2021,104332
Samoa,Samoa,Oceania,2021,218764
San Marino,San Marino,Europe,2021,33746
Sao Tome and Principe,Sao Tome and Principe,Africa,2021,223107
Saudi Arabia,Saudi Arabia,Asia,2021,35950396
Senegal,Senegal,Africa,2021,16876720
Serbia,Serbia,Europe,2021,6871547
Seychelles,Seychelles,Africa,2021,106470
Sierra Leone,Sierra Leone,Africa,2021,8420641
Singapore,Singapore,Asia,2021,5453600
Slovakia,Slovakia,Europe,2021,5447622
Slovenia,Slovenia,Europe,2021,2119410
Solomon Islands,Solomon Islands,Oceania,2021,707851
Somalia,Somalia,Africa,2021,17065581
South Africa,South Africa,Africa,2021,59392255
"Korea, South",South Korea,Asia,2021,51830139
South Sudan,South Sudan,Africa,2021,10748272
