location,date,age_group_min,age_group_max,people_vaccinated_per_hundred
Switzerland,2021-04-18,70,79,57.38
Switzerland,2021-04-18,80,,74.58
Switzerland,2021-04-25,0,9,0.01
Switzerland,2021-04-25,10,19,0.62
Switzerland,2021-04-25,20,29,4.29
Switzerland,2021-04-25,30,39,5.44
Switzerland,2021-04-25,40,49,8.33
Switzerland,2021-04-25,50,59,14.13
Switzerland,2021-04-25,60,69,33.46
Switzerland,2021-04-25,70,79,66.16
Switzerland,2021-04-25,80,,77.11
Switzerland,2021-05-02,0,9,0.01
Switzerland,2021-05-02,10,19,0.86
Switzerland,2021-05-02,20,29,5.65
Switzerland,2021-05-02,30,39,6.96
Switzerland,2021-05-02,40,49,10.98
Switzerland,2021-05-02,50,59,19.55
Switzerland,2021-05-02,60,69,42.14
Switzerland,2021-05-02,70,79,72.37
Switzerland,2021-05-02,80,,79.31
Switzerland,2021-05-09,0,9,0.01
Switzerland,2021-05-09,10,19,1.31
Switzerland,2021-05-09,20,29,8.11
Switzerland,2021-05-09,30,39,9.54
Switzerland,2021-05-09,40,49,14.75
Switzerland,2021-05-09,50,59,27.37
Switzerland,2021-05-09,60,69,50.01
Switzerland,2021-05-09,70,79,75.6
Switzerland,2021-05-09,80,,81.1
Switzerland,2021-05-16,0,9,0.01
Switzerland,2021-05-16,10,19,1.8
Switzerland,2021-05-16,20,29,10.41
Switzerland,2021-05-16,30,39,12.09
Switzerland,2021-05-16,40,49,18.42
Switzerland,2021-05-16,50,59,35.39
Switzerland,2021-05-16,60,69,55.86
Switzerland,2021-05-16,70,79,77.28
Switzerland,2021-05-16,80,,82.05
Switzerland,2021-05-23,0,9,0.01
Switzerland,2021-05-23,10,19,2.5
Switzerland,2021-05-23,20,29,13.71
Switzerland,2021-05-23,30,39,16.1
Switzerland,2021-05-23,40,49,23.51
Switzerland,2021-05-23,50,59,43.08
Switzerland,2021-05-23,60,69,60.55
Switzerland,2021-05-23,70,79,78.89
Switzerland,2021-05-23,80,,83.13
Switzerland,2021-05-30,0,9,0.01
Switzerland,2021-05-30,10,19,3.45
Switzerland,2021-05-30,20,29,17.95
Switzerland,2021-05-30,30,39,21.31
Switzerland,2021-05-30,40,49,29.76
Switzerland,2021-05-30,50,59,47.75
Switzerland,2021-05-30,60,69,63.31
Switzerland,2021-05-30,70,79,79.84
Switzerland,2021-05-30,80,,83.83
Switzerland,2021-06-06,0,9,0.01
Switzerland,2021-06-06,10,19,4.94
Switzerland,2021-06-06,20,29,23.7
Switzerland,2021-06-06,30,39,27.97
Switzerland,2021-06-06,40,49,37.4
Switzerland,2021-06-06,50,59,51.96
Switzerland,2021-06-06,60,69,65.7
Switzerland,2021-06-06,70,79,80.68
Switzerland,2021-06-06,80,,84.48
Switzerland,2021-06-13,0,9,0.01
Switzerland,2021-06-13,10,19,6.99
Switzerland,2021-06-13,20,29,30.07
Switzerland,2021-06-13,30,39,34.94
Switzerland,2021-06-13,40,49,44.92
Switzerland,2021-06-13,50,59,56.44
Switzerland,2021-06-13,60,69,68.13
Switzerland,2021-06-13,70,79,81.46
Switzerland,2021-06-13,80,,85.04
Switzerland,2021-06-20,0,9,0.01
Switzerland,2021-06-20,10,19,9.48
Switzerland,2021-06-20,20,29,36.06
Switzerland,2021-06-20,30,39,40.99
Switzerland,2021-06-20,40,49,50.98
Switzerland,2021-06-20,50,59,60.03
Switzerland,2021-06-20,60,69,70.13
Switzerland,2021-06-20,70,79,82.17
Switzerland,2021-06-20,80,,85.5
Switzerland,2021-06-27,0,9,0.02
Switzerland,2021-06-27,10,19,11.4
Switzerland,2021-06-27,20,29,40.92
Switzerland,2021-06-27,30,39,45.39
Switzerland,2021-06-27,40,49,55.09
Switzerland,2021-06-27,50,59,62.83
Switzerland,2021-06-27,60,69,71.75
Switzerland,2021-06-27,70,79,82.8
Switzerland,2021-06-27,80,,85.88
Switzerland,2021-07-04,0,9,0.02
Switzerland,2021-07-04,10,19,13.77
Switzerland,2021-07-04,20,29,43.4
Switzerland,2021-07-04,30,39,47.45
Switzerland,2021-07-04,40,49,56.92
Switzerland,2021-07-04,50,59,64.26
Switzerland,2021-07-04,60,69,72.69
Switzerland,2021-07-04,70,79,83.27
Switzerland,2021-07-04,80,,86.2
Switzerland,2021-07-11,0,9,0.02
Switzerland,2021-07-11,10,19,15.57
Switzerland,2021-07-11,20,29,45.0
Switzerland,2021-07-11,30,39,48.75
Switzerland,2021-07-11,40,49,58.09
Switzerland,2021-07-11,50,59,65.29
Switzerland,2021-07-11,60,69,73.43
Switzerland,2021-07-11,70,79,83.65
Switzerland,2021-07-11,80,,86.47
Switzerland,2021-07-18,0,9,0.02
Switzerland,2021-07-18,10,19,17.01
Switzerland,2021-07-18,20,29,46.57
Switzerland,2021-07-18,30,39,49.87
Switzerland,2021-07-18,40,49,59.09
Switzerland,2021-07-18,50,59,66.22
Switzerland,2021-07-18,60,69,74.09
Switzerland,2021-07-18,70,79,84.01
Switzerland,2021-07-18,80,,86.72
Switzerland,2021-07-25,0,9,0.02
Switzerland,2021-07-25,10,19,18.23
Switzerland,2021-07-25,20,29,47.79
Switzerland,2021-07-25,30,39,50.96
Switzerland,2021-07-25,40,49,60.04
Switzerland,2021-07-25,50,59,67.1
Switzerland,2021-07-25,60,69,74.74
Switzerland,2021-07-25,70,79,84.37
Switzerland,2021-07-25,80,,86.98
Switzerland,2021-08-01,0,9,0.02
Switzerland,2021-08-01,10,19,19.42
Switzerland,2021-08-01,20,29,48.93
Switzerland,2021-08-01,30,39,52.02
Switzerland,2021-08-01,40,49,60.93
Switzerland,2021-08-01,50,59,67.91
Switzerland,2021-08-01,60,69,75.34
Switzerland,2021-08-01,70,79,84.69
Switzerland,2021-08-01,80,,87.2
Switzerland,2021-08-08,0,9,0.02
Switzerland,2021-08-08,10,19,20.58
Switzerland,2021-08-08,20,29,49.84
Switzerland,2021-08-08,30,39,52.87
Switzerland,2021-08-08,40,49,61.68
Switzerland,2021-08-08,50,59,68.54
Switzerland,2021-08-08,60,69,75.79
Switzerland,2021-08-08,70,79,84.92
Switzerland,2021-08-08,80,,87.36
Switzerland,2021-08-15,0,9,0.02
Switzerland,2021-08-15,10,19,22.0
Switzerland,2021-08-15,20,29,50.87
Switzerland,2021-08-15,30,39,53.83
Switzerland,2021-08-15,40,49,62.55
Switzerland,2021-08-15,50,59,69.27
Switzerland,2021-08-15,60,69,76.26
Switzerland,2021-08-15,70,79,85.18
Switzerland,2021-08-15,80,,87.54
Switzerland,2021-08-22,0,9,0.02
Switzerland,2021-08-22,10,19,23.73
Switzerland,2021-08-22,20,29,51.97
Switzerland,2021-08-22,30,39,54.95
Switzerland,2021-08-22,40,49,63.61
Switzerland,2021-08-22,50,59,70.08
Switzerland,2021-08-22,60,69,76.81
Switzerland,2021-08-22,70,79,85.48
Switzerland,2021-08-22,80,,87.77
Switzerland,2021-08-29,0,9,0.02
Switzerland,2021-08-29,10,19,25.84
Switzerland,2021-08-29,20,29,53.32
Switzerland,2021-08-29,30,39,56.43
Switzerland,2021-08-29,40,49,64.96
Switzerland,2021-08-29,50,59,71.12
Switzerland,2021-08-29,60,69,77.52
Switzerland,2021-08-29,70,79,85.86
Switzerland,2021-08-29,80,,88.06
Switzerland,2021-09-05,0,9,0.02
Switzerland,2021-09-05,10,19,28.21
Switzerland,2021-09-05,20,29,54.93
Switzerland,2021-09-05,30,39,58.06
Switzerland,2021-09-05,40,49,66.43
Switzerland,2021-09-05,50,59,72.24
Switzerland,2021-09-05,60,69,78.31
Switzerland,2021-09-05,70,79,86.32
Switzerland,2021-09-05,80,,88.39
Switzerland,2021-09-12,0,9,0.02
Switzerland,2021-09-12,10,19,30.93
Switzerland,2021-09-12,20,29,57.39
Switzerland,2021-09-12,30,39,60.25
Switzerland,2021-09-12,40,49,68.28
Switzerland,2021-09-12,50,59,73.67
Switzerland,2021-09-12,60,69,79.28
Switzerland,2021-09-12,70,79,86.87
Switzerland,2021-09-12,80,,88.83
Switzerland,2021-09-19,0,9,0.02
